Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering
Microsoft,Microsoft,,3,0,3,3,0,3,0,0,0,0,219,114,2974,0.333333
thehoneybadgerD,thehoneybadgerD,,0,1,1,0,1,1,1,1,1,0,25,0,2977,0
AcademiaAny,AcademiaAny,,0,1,1,0,1,1,1,1,1,0,0,0,2978,0
3b3_3b,3b3_3b,,0,2,2,0,2,2,1,1,1,0,76,0,2979,1
roberta_robbie_,roberta_robbie_,,0,2,2,0,2,2,1,1,1,0,76,0,2980,1
LeonardoGama25,LeonardoGama25,,0,2,2,0,2,2,1,1,1,0,76,0,2981,1
ale_giseli,ale_giseli,,2,2,4,2,2,4,2,0.75,0.833333,0,5,0,339,0.25
maatdaher,maatdaher,,0,2,2,0,2,2,1,1,1,0,76,0,2982,1
neocimeire,neocimeire,,0,1,1,0,1,1,1,1,1,0,25,0,2983,0
ryaneakane,ryaneakane,,0,2,2,0,2,2,1,1,1,0,76,0,2984,1
americacapitao7,americacapitao7,,0,1,1,0,1,1,1,1,1,0,25,0,2985,0
Miranda110282,Miranda110282,,0,1,1,0,1,1,1,1,1,0,25,0,2986,0
markinmedeiros,markinmedeiros,,0,2,2,0,2,2,1,1,1,0,76,0,2987,1
Tabyta201,Tabyta201,,0,1,1,0,1,1,1,1,1,0,0,0,2988,0
notnille,notnille,,0,2,2,0,2,2,1,1,1,0,76,0,2989,1
eumesmavivi0,eumesmavivi0,,0,1,1,0,1,1,1,1,1,0,25,0,2990,0
LigiaGuerra7,LigiaGuerra7,,0,1,1,0,1,1,1,1,1,0,25,0,2991,0
Lujakson,Lujakson,,0,2,2,0,2,2,1,1,1,0,76,0,2992,1
indioxinguvivo,indioxinguvivo,,0,1,1,0,1,1,1,1,1,0,41,0,2993,0
ammarello77,ammarello77,,0,1,1,0,1,1,1,1,1,0,25,0,2994,0
EFeij,EFeij,,0,1,1,0,1,1,1,1,1,0,76,0,2995,0
JohnMstk,JohnMstk,,0,1,1,0,1,1,1,1,1,0,25,0,2996,0
MariaMagan1,MariaMagan1,,0,1,1,0,1,1,1,1,1,0,25,0,2997,0
Nakayuki_OldAge,Nakayuki_OldAge,,0,2,2,0,2,2,1,1,1,0,76,0,2998,1
hussfo_,hussfo_,,0,2,2,0,2,2,1,1,1,0,76,0,2999,1
